Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;2P;FT;FTA;ORB;DRB;PTS
1;Precious Achiuwa;C;22;TOR;6;1;27.8;4.2;8.7;0.8;3.3;1;1.7;1.3;3.5;10.2
5;Grayson Allen;SG;26;MIL;12;5;25.4;3.1;6.8;1.6;1.5;0.6;0.9;0.4;2.5;8.3
7;Kyle Anderson;PF;28;MEM;12;1;18.4;2.4;4.3;0.3;2.2;0.9;1.5;0.8;3.5;6
8;Giannis Antetokounmpo;PF;27;MIL;12;12;37.3;11.7;23.8;0.8;10.9;7.6;11.2;2.2;12;31.7
10;OG Anunoby;SF;24;TOR;6;6;36.2;6.5;13.7;2.3;4.2;2;2.7;1.2;2.8;17.3
11;Deandre Ayton;C;23;PHO;13;13;30.5;8.1;12.6;0.2;7.9;1.6;2.5;2.5;6.4;17.9
12;Desmond Bane;SF;23;MEM;12;12;35.7;6.3;13.3;3.6;2.8;2.5;2.9;0.4;3.3;18.8
14;Scottie Barnes;PF;20;TOR;4;3;33.3;4.5;10.5;0.5;4;3.3;4;1.8;7.3;12.8
15;Will Barton;SG;31;DEN;5;5;34.4;5.4;13.2;2.2;3.2;0.8;1.2;1;4.6;13.8
19;Patrick Beverley;PG;33;MIN;6;6;32.3;3.5;8.2;1.5;2;2.5;3.7;0.7;2.5;11
26;Devin Booker;SG;25;PHO;10;10;36.6;7.9;17.5;2.8;5.1;4.7;5.3;1;3.8;23.3
29;Mikal Bridges;SF;25;PHO;13;13;38.5;5.1;10.6;1;4.1;2.2;2.3;0.9;3.8;13.3
31;Dillon Brooks;SF;26;MEM;11;11;30.5;5.5;15.6;2.3;3.2;1.5;2.3;0.7;2;14.6
32;Bruce Brown;SF;25;BRK;4;4;34.8;5.3;9.3;1.5;3.8;2;2.5;1.5;3.3;14
33;Jaylen Brown;SF;25;BOS;24;24;38.3;8.2;17.5;2.5;5.7;4.2;5.5;1.4;5.5;23.1
36;Jalen Brunson;PG;25;DAL;18;18;34.9;8.1;17.3;1.4;6.6;4;5;0.8;3.8;21.6
37;Reggie Bullock;SF;30;DAL;18;18;39.3;3.4;8.4;2.9;0.5;0.9;1;0.4;4.1;10.6
40;Jimmy Butler;SF;32;MIA;17;17;37;9.8;19.3;1.4;8.4;6.5;7.8;2.4;4.9;27.4
50;John Collins;PF;24;ATL;5;4;24.4;3.8;7.8;0.8;3;1;2;0.4;4.2;9.4
51;Mike Conley;PG;34;UTA;6;6;29;3.2;9.5;0.8;2.3;2;2.5;0.3;2.8;9.2
55;Jae Crowder;PF;31;PHO;13;13;29.5;3.2;8.1;1.5;1.8;1.5;2;0.6;4.1;9.4
57;Seth Curry;SG;31;BRK;4;4;33;5.5;9.8;3;2.5;0.5;0.8;0.5;2;14.5
58;Stephen Curry;PG;33;GSW;22;18;34.7;9.2;20;4.1;5;4.9;5.9;0.5;4.7;27.4
62;Spencer Dinwiddie;PG;28;DAL;18;3;27.8;4.4;10.7;2.2;2.2;3.1;3.7;0.4;2;14.2
63;Luka Don?i?;PG;22;DAL;15;15;36.8;10.7;23.5;3.4;7.3;6.9;9;0.7;9.1;31.7
67;Kevin Durant;PF;33;BRK;4;4;44;8;20.8;1.8;6.3;8.5;9.5;0.5;5.3;26.3
68;Anthony Edwards;SG;20;MIN;6;6;37.8;8.3;18.3;3.8;4.5;4.7;5.7;0.7;3.5;25.2
70;Joel Embiid;C;27;PHI;10;10;38.5;7.8;16.1;0.7;7.1;7.3;8.9;2.1;8.6;23.6
71;Dorian Finney-Smith;PF;28;DAL;18;18;38.2;4.1;8.7;2.6;1.6;0.9;1.3;1.8;3.7;11.7
77;Aaron Gordon;PF;26;DEN;5;5;32;4.6;10.8;0.6;4;4;5.6;3.6;3.6;13.8
80;Draymond Green;PF;31;GSW;22;22;32;3.1;6.5;0.4;2.8;1.4;2.1;1.2;6;8
83;Jeff Green;C;35;DEN;5;5;22.6;1.2;3.4;0.6;0.6;0.8;1;1.4;2.2;3.8
