Rk;Player;Age;G;FG;FT;PTS
1;Precious Achiuwa;22;6;4.2;1;10.2
5;Grayson Allen;26;12;3.1;0.6;8.3
7;Kyle Anderson;28;12;2.4;0.9;6
8;Giannis Antetokounmpo;27;12;11.7;7.6;31.7
10;OG Anunoby;24;6;6.5;2;17.3
11;Deandre Ayton;23;13;8.1;1.6;17.9
12;Desmond Bane;23;12;6.3;2.5;18.8
14;Scottie Barnes;20;4;4.5;3.3;12.8
15;Will Barton;31;5;5.4;0.8;13.8
19;Patrick Beverley;33;6;3.5;2.5;11
26;Devin Booker;25;10;7.9;4.7;23.3
29;Mikal Bridges;25;13;5.1;2.2;13.3
31;Dillon Brooks;26;11;5.5;1.5;14.6
32;Bruce Brown;25;4;5.3;2;14
33;Jaylen Brown;25;24;8.2;4.2;23.1
36;Jalen Brunson;25;18;8.1;4;21.6
37;Reggie Bullock;30;18;3.4;0.9;10.6
40;Jimmy Butler;32;17;9.8;6.5;27.4
50;John Collins;24;5;3.8;1;9.4
51;Mike Conley;34;6;3.2;2;9.2
55;Jae Crowder;31;13;3.2;1.5;9.4
57;Seth Curry;31;4;5.5;0.5;14.5
58;Stephen Curry;33;22;9.2;4.9;27.4
62;Spencer Dinwiddie;28;18;4.4;3.1;14.2
63;Luka Don?i?;22;15;10.7;6.9;31.7
67;Kevin Durant;33;4;8;8.5;26.3
68;Anthony Edwards;20;6;8.3;4.7;25.2
70;Joel Embiid;27;10;7.8;7.3;23.6
71;Dorian Finney-Smith;28;18;4.1;0.9;11.7
77;Aaron Gordon;26;5;4.6;4;13.8
80;Draymond Green;31;22;3.1;1.4;8
83;Jeff Green;35;5;1.2;0.8;3.8
86;James Harden;32;12;5.3;5.6;18.6
87;Tobias Harris;29;12;6.8;1.6;16.9
96;Jrue Holiday;31;12;7.4;2.2;19.1
97;Al Horford;35;23;4.4;1.2;12
99;Kevin Huerter;23;5;3.4;0.6;9.2
100;De'Andre Hunter;24;5;7.8;3.2;21.2
104;Brandon Ingram;24;6;9.3;6.5;27
105;Kyrie Irving;29;4;7;5.3;21.3
106;Jaren Jackson Jr.;22;12;4.9;3.3;15.4
108;Cameron Johnson;25;13;3.5;2;10.8
110;Nikola Joki?;26;5;12.2;5.6;31
112;Herbert Jones;23;6;3.5;2.8;10.7
113;Tyus Jones;25;12;3.3;1.2;9.2
120;Jonathan Kuminga;19;16;1.9;1.3;5.2
124;Brook Lopez;33;12;4.2;1.8;10.6
125;Kyle Lowry;35;10;2.5;1.5;7.8
130;Wesley Matthews;35;12;2.1;0.5;6.2
131;Tyrese Maxey;21;12;7.3;3.9;20.8
133;CJ McCollum;30;6;8.2;3;22.2
142;Donovan Mitchell;25;6;8.8;6.2;25.5
145;Ja Morant;22;9;9;7.2;27.1
158;Royce O'Neale;28;6;2.3;0.3;6.2
161;Victor Oladipo;29;15;3.3;2.8;10.6
163;Chris Paul;36;13;6.7;2.7;17.5
166;Gary Payton II;29;12;2.4;1;6.5
167;Jordan Poole;22;22;5.9;3;17
168;Otto Porter Jr.;28;19;2;0.4;5.4
169;Bobby Portis;26;12;4;1.4;10.6
180;Pascal Siakam;27;6;8.5;5.2;22.8
181;Marcus Smart;27;21;5.4;2.4;15.4
184;Max Strus;25;18;3.8;0.7;10.9
185;Jayson Tatum;23;24;8.4;5.7;25.6
187;Daniel Theis;29;16;1.9;0.4;4.3
189;Klay Thompson;31;22;7.2;1.2;19
192;Xavier Tillman Sr.;23;9;2;0.3;4.4
194;Karl-Anthony Towns;26;6;6.5;7.2;21.8
195;Gary Trent Jr.;23;6;5.2;2.8;15.3
196;P.J. Tucker;36;18;3;0.6;7.9
198;Jonas Valan?i?nas;29;6;5.5;3.3;14.5
200;Fred VanVleet;27;4;4.8;1.3;13.8
202;Gabe Vincent;25;18;2.8;1.1;8
203;Nikola Vu?evi?;31;5;8;0.8;19.4
207;Derrick White;27;23;2.8;1.8;8.5
209;Andrew Wiggins;26;22;6.5;1.9;16.5
210;Grant Williams;23;24;2.7;1.8;8.6
211;Patrick Williams;20;5;4.4;1.6;11.8
