FECHA;CODIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
5/6/2023;1.1;PAPAS, ZANAHORIA, CEBOLLA;Av. Pablo Zamora;$5 a $10 dolares
6/6/2023;1.1;PAPAS, TOMATES, CHOCLO;Av. Pablo Zamora;$5 a $10 dolares
7/6/2023;1.1;PAPAS, CHOCLO;Av. Pablo Zamora;$5 a $10 dolares
8/6/2023;1.1;TOMATES, ZANAHORIA, BROCOLI;Av. Pablo Zamora;$10 a $15 dolares
9/6/2023;1.1;TOMATES, CHOCLO;Av. Pablo Zamora;$5 a $10 dolares
10/6/2023;1.1;TOMATES, CHOCLO;Av. Pablo Zamora;$5 a $10 dolares
11/6/2023;1.1;CHOCLO;Av. Pablo Zamora;$5 a $10 dolares
5/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. Olmedo;$30 a $35 dolares
6/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Olmedo;$30 a $35 dolares
7/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Olmedo;$25 a $30 dolares
8/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Olmedo;$20 a $25 dolares
9/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Olmedo;$25 a $30 dolares
10/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;$20 a $25 dolares
11/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;$20 a $25 dolares
5/6/2023;3.1;LECHUGA, TOMATES, ZANAHORIA, CEBOLLA;Av. Quito ;$5 a $10 dolares
6/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CEBOLLA;Av. Quito ;$5 a $10 dolares
7/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI;Av. Quito ;$10 a $15 dolares
8/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA;Av. Quito ;$15 a $20 dolares
9/6/2023;3.1;CHOCLO, ZANAHORIA, BROCOLI;Av. Quito ;$5 a $10 dolares
10/6/2023;3.1;LECHUGA, PAPAS, CHOCLO, ZANAHORIA;Av. Quito ;$5 a $10 dolares
11/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA;Av. Quito ;$15 a $20 dolares
5/6/2023;4.3;PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Joaquin Ramirez;$10 a $15 dolares
6/6/2023;4.3;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Joaquin Ramirez;$15 a $20 dolares
7/6/2023;4.3;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Joaquin Ramirez;$10 a $15 dolares
8/6/2023;4.3;PAPAS, TOMATES, CEBOLLA;Joaquin Ramirez;$5 a $10 dolares
9/6/2023;4.3;PAPAS, TOMATES, CEBOLLA, CEBOLLA BLANCA;Joaquin Ramirez;$5 a $10 dolares
10/6/2023;4.3;CHOCLO, ZANAHORIA, CEBOLLA;Joaquin Ramirez;$5 a $10 dolares
11/6/2023;4.3;PAPAS;Joaquin Ramirez;$5 a $10 dolares
5/6/2023;5.1;LECHUGA, PAPAS, ZANAHORIA, CEBOLLA;Av. Pablo Zamora;$5 a $10 dolares
6/6/2023;5.1;CHOCLO, ZANAHORIA, BROCOLI;Av. Pablo Zamora;$5 a $10 dolares
7/6/2023;5.1;LECHUGA, PAPAS, CHOCLO, BROCOLI, CEBOLLA BLANCA;Av. Pablo Zamora;$10 a $15 dolares
8/6/2023;5.1;CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Pablo Zamora;$10 a $15 dolares
9/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CHOCLO;Av. Pablo Zamora;$10 a $15 dolares
10/6/2023;5.1;CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Pablo Zamora;$5 a $10 dolares
11/6/2023;5.1;CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pablo Zamora;$15 a $20 dolares
5/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dolares
6/6/2023;6.2;LECHUGA, CHOCLO, BROCOLI, CEBOLLA BLANCA, AJO;Av. Rocafuerte ;$10 a $15 dolares
7/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, BROCOLI;Av. Rocafuerte ;$5 a $10 dolares
8/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Rocafuerte ;$5 a $10 dolares
9/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dolares
10/6/2023;6.2;PAPAS, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dolares
11/6/2023;6.2;LECHUGA, TOMATES, ZANAHORIA, CEBOLLA;Av. Rocafuerte ;$5 a $10 dolares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dolares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$15 a $20 dolares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$20 a $25 dolares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$15 a $20 dolares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$25 a $30 dolares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$5 a $10 dolares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$20 a $25 dolares
5/6/2023;1.1;LECHUGA, CHOCLO, CEBOLLA BLANCA, AJO;Av. Chile;$10 a $15 dolares
6/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO;Av. Chile;$10 a $15 dolares
7/6/2023;1.1;TOMATES, ZANAHORIA;Av. Chile;$5 a $10 dolares
8/6/2023;1.1;PAPAS, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Chile;$15 a $20 dolares
9/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Chile;$20 a $25 dolares
10/6/2023;1.1;LECHUGA, PAPAS, ZANAHORIA;Av. Chile;$5 a $10 dolares
11/6/2023;1.1;PAPAS, TOMATES;Av. Chile;$5 a $10 dolares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Pedro Gual;$20 a $25 dolares
6/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Pedro Gual;$30 a $35 dolares
7/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pedro Gual;Mas de $40 dolares
8/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Pedro Gual;$20 a $25 dolares
9/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pedro Gual;Mas de $40 dolares
10/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Pedro Gual;$25 a $30 dolares
11/6/2023;2.2;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. Pedro Gual;$30 a $35 dolares
5/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA BLANCA;Av. Chile ;$10 a $15 dolares
6/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BROCOLI, CEBOLLA BLANCA;Av. Chile ;$5 a $10 dolares
