prov_insc;cant_insc;parr_insc;mcap_bie;dur_mat;cau_div;nac_1;sexo_1;edad_1;hijos_1;p_etnica1;niv_inst1;nac_2;sexo_2;edad_2;hijos_2;p_etnica2;niv_inst2
Santa Elena;Salinas;Salinas, cabecera cantonal; No;7;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;70;0;Mulato; Secundaria; Ecuatoriano;Mujer;45;0;Montubio; Superior Universitario
Guayas;Milagro;Milagro, cabecera cantonal; Sin informacion;4;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;35;0;Mestizo; Secundaria; Ecuatoriano;Mujer;29;0;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Calderon; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;52;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;46;1;Mestizo; Educacion Basica
Pichincha;Quito;Calderon; No;11;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;47;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;47;1;Mestizo; Superior Universitario
Imbabura;Otavalo;Jordan; No;3;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;21;0;Indigena; Secundaria; Ecuatoriano;Mujer;22;1;Indigena; Secundaria
Carchi;Tulcan;Gonzalez Suarez; No;2;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;22;0;Mestizo; Secundaria; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;6;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;23;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
Imbabura;Otavalo;Jordan; No;3;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar; Ecuatoriano;Hombre;27;0;Indigena; Primaria; Ecuatoriano;Mujer;22;1;Indigena; Secundaria
Imbabura;Otavalo;Jordan; No;2;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;25;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;San Pedro de Pelileo;Pelileo; No;6;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;25;0;Mestizo; Primaria; Ecuatoriano;Mujer;21;0;Mestizo; Primaria
Imbabura;Otavalo;Jordan; No;2;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;30;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico; No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Indigena; Educacion media o Bachillerato; Ecuatoriano;Mujer;21;0;Indigena; Secundaria
Imbabura;Otavalo;Jordan; No;3;El adulterio de uno de los conyuges; Ecuatoriano;Hombre;24;0;Indigena; Secundaria; Ecuatoriano;Mujer;22;1;Indigena; Secundaria
Imbabura;Otavalo;Jordan; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Indigena; Primaria; Ecuatoriano;Mujer;22;0;Indigena; Secundaria
Pichincha;Quito;Quitumbe; No;3;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;25;0;Mestizo; Primaria; Ecuatoriano;Mujer;22;1;Mestizo; Primaria
Pichincha;Quito;Quitumbe; No;3;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;27;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;Banos de Agua Santa;Banos de Agua Santa; No;2;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;30;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Carchi;Tulcan;Gonzalez Suarez; No;2;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;24;0;Mestizo; Secundaria; Ecuatoriano;Mujer;21;1;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;23;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
