COD_ENSE;COD_GRADO;Nombre Oficial del Grado 
110;1;1º Básico 
110;2;2º Básico
110;3;3º Básico 
110;4;4º Básico 
110;5;5º Básico
110;6;6º Básico 
110;7;7º Básico 
110;8;8º Básico 
160;1;Alfabetización 
160;2;Nivel Básico 1 (1º a 4º básico)
160;3;Nivel Básico 2 (5º a 6º básico) 
160;4;Nivel Básico 3 (7º a 8º básico) 
160;5;Nivel Técnico 
161;1;Alfabetización 
161;2;Nivel Básico 1 (1º a 4º básico) 
161;3;Nivel Básico 2 (5º a 6º básico) 
161;4;Nivel Básico 3 (7º a 8º básico) 
161;5;Nivel Técnico 
163;1;Alfabetización 
163;2;Nivel Básico 1 (1º a 4º básico) 
163;3;Nivel Básico 2 (5º a 6º básico) 
163;4;Nivel Básico 3 (7º a 8º básico) 
163;5;Nivel Técnico 
165;1;Nivel Básico 1 (1º a 4º básico) 
165;2;Nivel Básico 2 (5º a 6º básico) 
165;3;Nivel Básico 3 (7º a 8º básico) 
167;2;Nivel Básico 2 (5º a 6º básico) 
167;3;Nivel Básico 3 (7º a 8º básico) 
310;1;1º medio 
