COD_ENSEÑANZA;COD_GRADO;Nombre Oficial del Grado 
110;1;Primer año Básico 
110;2;Segundo año Básico
110;3;Tercer año Básico 
110;4;Cuarto año Básico 
110;5;Quinto año Básico
110;6;Sexto año Básico 
110;7;Septimo año Básico 
110;8;Octavo año Básico 
160;1;Alfabetización 
160;2;Nivel Básico 1 (primero a cuarto año básico)
160;3;Nivel Básico 2 (quinto a sexto año básico) 
160;4;Nivel Básico 3 (septimo a octavo año básico) 
160;5;Nivel Técnico 
161;1;Alfabetización 
161;2;Nivel Básico 1 (primer a cuarto año básico) 
161;3;Nivel Básico 2 (quinto a sexto año básico) 
161;4;Nivel Básico 3 (sexto a octavo año básico) 
161;5;Nivel Técnico 
163;1;Alfabetización 
163;2;Nivel Básico 1 (primer a cuarto año básico) 
163;3;Nivel Básico 2 (quinto a sexto básico) 
163;4;Nivel Básico 3 (septimo a octavo básico) 
163;5;Nivel Técnico 
165;1;Nivel Básico 1 (primer a cuarto año básico) 
165;2;Nivel Básico 2 (quinto a sexto básico) 
165;3;Nivel Básico 3 (septimo a octavo básico) 
167;2;Nivel Básico 2 (quinto a sexto básico) 
167;3;Nivel Básico 3 (septimo a octavo básico) 
310;1;Primer medio 
